zip,donations,total,GEOID,variable,estimate,moe,donations_per_1000
20601,1425,35154.4,20601,B01003_001,27328,1457,52.144320843091336
20602,897,22974.03999999998,20602,B01003_001,28988,1690,30.94383882986063
20603,1449,54640.36000000012,20603,B01003_001,32495,1906,44.59147561163255
20606,21,293.59999999999997,20606,B01003_001,247,179,85.02024291497976
20607,578,12869.199999999992,20607,B01003_001,12080,1570,47.8476821192053
20608,26,960.7,20608,B01003_001,603,189,43.117744610281925
20609,48,2305.4399999999996,20609,B01003_001,1240,313,38.70967741935484
20611,35,826.2,20611,B01003_001,1127,275,31.055900621118013
20612,146,717.07,20612,B01003_001,147,133,993.1972789115646
20613,1242,21712.14999999992,20613,B01003_001,14800,1062,83.91891891891892
20615,156,2400.2400000000016,20615,B01003_001,524,233,297.70992366412213
20616,292,6938.1399999999985,20616,B01003_001,6792,1180,42.99175500588928
20617,122,2581.13,20617,B01003_001,630,283,193.65079365079364
20618,111,3086.189999999999,20618,B01003_001,1087,369,102.11591536338547
20619,1321,50741.130000000056,20619,B01003_001,13925,1248,94.86535008976661
20620,163,5863.94,20620,B01003_001,1325,479,123.01886792452831
20621,39,1845.489999999999,20621,B01003_001,775,368,50.32258064516129
20622,383,17405.309999999994,20622,B01003_001,5471,1124,70.00548345823434
20623,103,2147.4399999999996,20623,B01003_001,2457,389,41.92104192104192
20624,18,727.2300000000001,20624,B01003_001,990,331,18.18181818181818
20625,26,1835.3699999999997,20625,B01003_001,1248,404,20.833333333333332
20626,16,1488.6,20626,B01003_001,239,154,66.94560669456067
20628,88,2661.529999999999,20628,B01003_001,631,331,139.4611727416799
20630,57,8129.480000000001,20630,B01003_001,307,147,185.66775244299674
20632,74,1660.4599999999996,20632,B01003_001,802,416,92.26932668329177
20634,2590,41293.05999999995,20634,B01003_001,7853,1330,329.81026359353115
20636,1831,39801.99999999989,20636,B01003_001,11089,1415,165.11858598611238
20637,1342,50569.88999999994,20637,B01003_001,6221,626,215.72094518566146
20639,4060,78700.29000000027,20639,B01003_001,15058,1086,269.6241200690663
20640,1132,23500.449999999957,20640,B01003_001,10629,900,106.50108194562047
20645,104,2337.07,20645,B01003_001,763,271,136.3040629095675
20646,5750,92164.8600000004,20646,B01003_001,21248,1174,270.6137048192771
20650,6687,111278.18000000074,20650,B01003_001,15522,1211,430.80788558175493
20653,2289,45948.46000000004,20653,B01003_001,27053,1548,84.61168816767086
20656,4,4,20656,B01003_001,203,119,19.704433497536947
20657,1350,80439.92000000038,20657,B01003_001,21054,1291,64.12083214591053
20658,11,1121.18,20658,B01003_001,978,213,11.247443762781186
20659,3755,91069.19000000054,20659,B01003_001,23346,1541,160.84125760301552
20660,2,2000,20660,B01003_001,0,13,Inf
20662,133,9742.390000000005,20662,B01003_001,2590,464,51.351351351351354
20664,281,8245.47,20664,B01003_001,2780,483,101.07913669064749
20667,30,1417.13,20667,B01003_001,159,180,188.67924528301887
20670,19,705.89,20670,B01003_001,1403,419,13.5424091233072
20674,209,9114.100000000006,20674,B01003_001,807,389,258.9838909541512
20675,131,4188.69,20675,B01003_001,2060,501,63.592233009708735
20676,691,23146.85999999999,20676,B01003_001,2897,580,238.52260959613395
20677,10510,52261.30000000037,20677,B01003_001,2055,410,5114.355231143552
20678,2547,50940.49999999995,20678,B01003_001,12874,846,197.84060897933819
20680,44,1978.8,20680,B01003_001,588,330,74.82993197278911
20684,75,3987.879999999999,20684,B01003_001,627,210,119.61722488038278
20685,1045,30678.48999999994,20685,B01003_001,6750,915,154.8148148148148
20686,5,389.33,20686,B01003_001,963,129,5.192107995846314
