zip,donations,total,GEOID,variable,estimate,moe,donations_per_1000
21207,13152,198563.10000000015,21207,B01003_001,51765,2665,254.07128368588815
21208,21511,700900.8699999987,21208,B01003_001,37319,1885,576.4087998070688
21209,26774,644100.539999995,21209,B01003_001,29960,2204,893.6582109479306
21210,25454,1443604.7700000436,21210,B01003_001,15005,893,1696.3678773742085
21211,13357,433904.2699999998,21211,B01003_001,15935,805,838.2177596485724
21212,25556,1146181.100000002,21212,B01003_001,33861,1974,754.7325832078202
21213,3715,75637.8300000001,21213,B01003_001,28862,1842,128.7159587000208
21214,7525,156481.40000000066,21214,B01003_001,21510,1718,349.8372849837285
21215,10084,148706.3900000006,21215,B01003_001,53674,2752,187.87494876476507
21216,3837,59446.779999999984,21216,B01003_001,28385,2344,135.17703012154305
21217,6787,338081.31999999844,21217,B01003_001,31634,1810,214.54763861667826
21218,31378,1018091.8099999998,21218,B01003_001,46548,1868,674.0998539142391
21219,1232,28739.510000000017,21219,B01003_001,9605,1032,128.2665278500781
21220,3341,75693.55000000031,21220,B01003_001,42652,2196,78.33161399230985
21221,3250,65432.59999999995,21221,B01003_001,43822,2188,74.16366208753594
21222,3776,62814.88999999995,21222,B01003_001,60013,2825,62.91970073150817
21223,1598,27742.830000000005,21223,B01003_001,20728,1461,77.09378618294095
21224,12042,379731.1799999997,21224,B01003_001,44915,2124,268.10642324390517
21225,2446,27074.09999999997,21225,B01003_001,34872,1646,70.14223445744437
21226,636,12090.19,21226,B01003_001,5902,1298,107.76008132836326
21227,4190,96694.33000000005,21227,B01003_001,35052,1827,119.536688348739
21228,26381,597323.7399999986,21228,B01003_001,50268,2299,524.8070342961724
21229,8355,157636.48000000007,21229,B01003_001,44332,2465,188.46431471623208
21230,13266,623503.7299999964,21230,B01003_001,32883,1938,403.4303439467202
21231,7981,281612.8999999996,21231,B01003_001,14780,1104,539.9864682002707
21233,28,238,21233,B01003_001,0,13,Inf
21234,12937,250143.7600000003,21234,B01003_001,66095,2210,195.73341402526668
21236,5621,122992.59000000026,21236,B01003_001,38632,2124,145.501138952164
21237,3793,79481.20000000007,21237,B01003_001,30983,1755,122.42197334021883
